FROM_GEO,TO_GEO,FROM_LOC,TO_LOC,Regions,Di,Smin,Smean,Smax,xi,tip,ci
f2m,f2q,"(46.805833, -71.214167000000003)","(47.397462896055053, -70.306202522914049)","(1.0, 0.0)",59.13057858,5.1187178,8.173773317,11.3949346,3.960216269,7.751647986,237.1910747
f2q,f2w,"(47.397462896055053, -70.306202522914049)","(47.815959901067998, -69.839168111861994)","(0.0, 0.0)",36.19611128,5.1701622,7.138510685,10.160269,3.960216269,0,0
f2w,f2x,"(47.815959901067998, -69.839168111861994)","(48.35429332413851, -68.90486003401962)","(0.0, 0.0)",56.96410274,5.14444,6.568316153,7.8709932,3.960216269,0,0
f2x,f88,"(48.35429332413851, -68.90486003401962)","(48.99200198452521, -67.480787473801556)","(0.0, 0.0)",78.52558688,5.8389394,7.767977194,9.0542144,3.960216269,0,0
f88,f8b,"(48.99200198452521, -67.480787473801556)","(49.223968755690329, -66.657749833348262)","(0.0, 0.0)",40.54147179,3.5496636,6.298182318,10.28888,3.960216269,0,0
f8b,f8c,"(49.223968755690329, -66.657749833348262)","(49.342050280486802, -66.08288757834913)","(0.0, 0.0)",27.17146351,0.3343886,6.303698812,11.4721012,3.960216269,0,0
f8c,f8f,"(49.342050280486802, -66.08288757834913)","(49.382399597365797, -64.678636426389332)","(0.0, 0.0)",63.26789361,3.3696082,7.738850174,9.4914918,3.960216269,0,0
f8f,f8d,"(49.382399597365797, -64.678636426389332)","(49.215183998385221, -63.866402864893239)","(0.0, 0.0)",38.38758617,4.9386624,7.020303007,8.7712702,3.960216269,0,0
f8d,f8e,"(49.215183998385221, -63.866402864893239)","(48.976807045656201, -63.270029525523562)","(0.0, 0.0)",31.61961797,4.501385,7.812974714,11.060546,3.960216269,0,0
f8e,f8s,"(48.976807045656201, -63.270029525523562)","(48.415467769874972, -61.865666500556252)","(0.0, 0.0)",74.89371173,2.6236644,7.78915854,11.2148792,3.960216269,0,0
f8s,f8t,"(48.415467769874972, -61.865666500556252)","(47.846438914973447, -60.442065625931853)","(0.0, 0.0)",76.5414844,0.1028888,5.751774155,10.674713,3.960216269,0,0
f8t,f8m,"(47.846438914973447, -60.442065625931853)","(47.800301440251701, -60.326638527989331)","(0.0, 0.0)",6.233534828,0.0771666,5.399564546,10.7518796,3.960216269,0,0
f8m,f8j,"(47.800301440251701, -60.326638527989331)","(46.399894937866939, -59.20834014475497)","(0.0, 0.0)",110.1584477,0,6.295207164,10.8290462,3.960216269,0,0
f8j,f8n,"(46.399894937866939, -59.20834014475497)","(45.921784727678698, -59.055746971088951)","(0.0, 0.0)",33.84126719,3.1381084,7.200848814,11.1377126,3.960216269,0,0
f8n,f8h,"(45.921784727678698, -59.055746971088951)","(45.206197609519087, -60.48827204315036)","(0.0, 0.0)",85.14767497,6.5334388,8.355491411,10.9576572,3.960216269,0,0
f8h,dxu,"(45.206197609519087, -60.48827204315036)","(44.997963104901757, -60.985895155734504)","(0.0, 0.0)",28.22086666,5.5817174,8.328977586,10.2631578,3.960216269,0,0
dxu,dxg,"(44.997963104901757, -60.985895155734504)","(44.673844591793234, -61.897569250221984)","(0.0, 0.0)",49.98146286,3.0352196,8.234060811,10.1345468,3.960216269,0,0
dxg,dxf,"(44.673844591793234, -61.897569250221984)","(44.575003839859974, -63.285580425356514)","(0.0, 0.0)",68.61549436,0.8488326,6.609292673,9.8258804,3.960216269,0,0
dxf,dxf,"(44.575003839859974, -63.285580425356514)","(44.570297137386959, -63.351676195601016)","(0.0, 1.0)",3.270328899,0,5.011289788,9.517214,3.960216269,0,0
dxf,dxd,"(44.570297137386959, -63.351676195601016)","(43.57946529836169, -63.79399405937626)","(1.0, 0.0)",71.91446928,3.7039968,6.239038494,8.5654926,5.852404878,9.243745849,362.9969267
dxd,dx9,"(43.57946529836169, -63.79399405937626)","(42.758025869413437, -64.692008592658453)","(0.0, 0.0)",72.60804532,7.7681044,7.90810666,8.102493,5.852404878,0,0
dx9,dx8,"(42.758025869413437, -64.692008592658453)","(42.225164117986658, -66.095867231463046)","(0.0, 0.0)",80.46437673,6.4819944,6.999106778,7.6909378,5.852404878,0,0
dx8,dx2,"(42.225164117986658, -66.095867231463046)","(42.180758972034432, -66.212855451363424)","(0.0, 0.0)",6.729898214,3.1638306,6.414466064,8.5397704,5.852404878,0,0
dx2,drr,"(42.180758972034432, -66.212855451363424)","(41.684901508901177, -67.519223906917716)","(0.0, 0.0)",75.40325885,3.4210526,7.280693602,9.774436,5.852404878,0,0
drr,drq,"(41.684901508901177, -67.519223906917716)","(41.303105205087476, -68.920974860961891)","(0.0, 0.0)",77.21227342,3.8068856,6.49258727,9.645825,5.852404878,0,0
drq,drm,"(41.303105205087476, -68.920974860961891)","(41.006132334100471, -70.324187090026257)","(0.0, 0.0)",75.84842052,1.1317768,4.070653897,9.7229916,5.852404878,0,0
drm,drk,"(41.006132334100471, -70.324187090026257)","(41.037365793405428, -71.732202646683675)","(0.0, 0.0)",73.44890089,0,2.172020603,8.7712702,5.852404878,0,0
drk,drk,"(41.037365793405428, -71.732202646683675)","(41.044921875, -71.7626953125)","(0.0, 1.0)",1.673095197,0,1.80666544,8.1282152,5.852404878,0,0
drk,drh,"(41.044921875, -71.7626953125)","(40.78125, -71.71875)","(1.0, 0.0)",18.36707126,1.7748318,4.799010256,9.3628808,7.287183058,4.765069897,221.63201
drh,dr5,"(40.78125, -71.71875)","(40.418897843808629, -73.150111607142861)","(0.0, 0.0)",79.174856,1.7748318,4.912263614,7.9224376,7.287183058,0,0
dr5,dqg,"(40.418897843808629, -73.150111607142861)","(39.354904653342501, -74.074034677720675)","(0.0, 0.0)",88.36237395,0.0514444,4.809824691,8.2568262,7.287183058,0,0
dqg,dqf,"(39.354904653342501, -74.074034677720675)","(38.567488341887866, -74.537860011927805)","(0.0, 0.0)",59.85710344,0.1028888,5.518604644,9.9287692,7.287183058,0,0
dqf,dqd,"(38.567488341887866, -74.537860011927805)","(37.968377878135172, -74.866594509609385)","(0.0, 0.0)",45.08494007,0.128611,5.029061093,9.8516026,7.287183058,0,0
dqd,dq6,"(37.968377878135172, -74.866594509609385)","(36.5625, -75.6298828125)","(0.0, 0.0)",105.8450808,2.829442,7.268517456,10.7776018,7.287183058,0,0
dq6,dq4,"(36.5625, -75.6298828125)","(35.135165443732987, -75.270938893009742)","(0.0, 0.0)",100.6753709,4.3984962,6.901011523,9.1056588,7.287183058,0,0
dq4,dq1,"(35.135165443732987, -75.270938893009742)","(34.756660878641625, -75.938154512609231)","(0.0, 0.0)",45.96778524,1.6462208,5.815425427,9.645825,7.287183058,0,0
dq1,dq0,"(34.756660878641625, -75.938154512609231)","(33.943166038460809, -77.357284584309028)","(0.0, 0.0)",98.5783274,0,3.749161101,9.5686584,7.287183058,0,0
dq0,dmb,"(33.943166038460809, -77.357284584309028)","(33.741133704750894, -77.694830215073765)","(0.0, 0.0)",23.88312754,2.3921646,4.783018198,8.7198258,7.287183058,0,0
dmb,djz,"(33.741133704750894, -77.694830215073765)","(33.135442575093393, -78.75717685354914)","(0.0, 0.0)",74.20320689,2.3921646,6.226083341,10.2117134,7.287183058,0,0
djz,djz,"(33.135442575093393, -78.75717685354914)","(32.722939854804984, -79.5135498046875)","(0.0, 1.0)",52.3250664,0,4.625979894,10.5975464,7.287183058,0,0
djz,djy,"(32.722939854804984, -79.5135498046875)","(32.374329134291663, -80.164585451068405)","(1.0, 0.0)",44.93324237,0.677351267,4.643832235,9.692982367,8.104212143,4.800954893,173.4700637
djy,djw,"(32.374329134291663, -80.164585451068405)","(32.321635855973042, -80.192477857076454)","(0.0, 0.0)",3.989334149,0.677351267,3.145378621,8.149650367,8.104212143,0,0
djw,djq,"(32.321635855973042, -80.192477857076454)","(30.929940879378016, -81.013746123261001)","(0.0, 0.0)",107.6427058,0,1.922263378,9.0542144,8.104212143,0,0
djq,djm,"(30.929940879378016, -81.013746123261001)","(30.380832999999999, -81.564443999999995)","(0.0, 0.0)",50.12191851,0,1.403532345,7.588049,8.104212143,0,0
djm,djm,"(30.380832999999999, -81.564443999999995)","(30.380832999999999, -81.564443999999995)","(0.0, 1.0)",0,0,0.5916106,4.5785516,8.104212143,0,0
djm,djn,"(30.380832999999999, -81.564443999999995)","(29.526314411017974, -80.919799355466083)","(1.0, 0.0)",70.55451865,0,1.270390878,6.6620498,8.107366224,3.41713245,270.0736546
djn,dhy,"(29.526314411017974, -80.919799355466083)","(28.102361611180971, -80.254712220535097)","(0.0, 0.0)",106.3347705,0.2314998,2.129226556,8.0253264,8.107366224,0,0
dhy,dhz,"(28.102361611180971, -80.254712220535097)","(27.81034462600509, -80.153540939008394)","(0.0, 0.0)",21.1060107,0.2314998,3.850850701,9.645825,8.107366224,0,0
dhz,dhx,"(27.81034462600509, -80.153540939008394)","(26.709862465753709, -79.888720561489819)","(0.0, 0.0)",77.77799616,0,4.139868198,10.546102,8.107366224,0,0
dhx,dhr,"(26.709862465753709, -79.888720561489819)","(25.304048804705122, -79.901535720587901)","(0.0, 0.0)",97.16296593,2.57222,7.14434105,10.6489908,8.107366224,0,0
dhr,dhq,"(25.304048804705122, -79.901535720587901)","(24.720360685782655, -80.161566538654967)","(0.0, 0.0)",43.50370809,4.0898298,9.331996461,12.4238226,8.107366224,0,0
dhq,dhw,"(24.720360685782655, -80.161566538654967)","(25.318777901785715, -81.180070841927801)","(0.0, 0.0)",76.0205688,1.5176098,3.644380316,7.5366046,8.107366224,0,0
dhw,dht,"(25.318777901785715, -81.180070841927801)","(25.616978236607142, -81.565190529336732)","(0.0, 0.0)",31.65755017,1.8519984,2.64701971,4.629996,8.107366224,0,0
dht,dhv,"(25.616978236607142, -81.565190529336732)","(26.74072265625, -82.44140625)","(0.0, 1.0)",94.79007957,1.8519984,3.013033825,7.5623268,8.107366224,3.500565438,181.7735415
