FROM_GEO,TO_GEO,FROM_LOC,TO_LOC,Regions,Di,Smin,Smean,Smax,xi,tip,ci
f2m6,f2md,"(46.805833, -71.214167000000003)","(46.86114647610566, -71.014456415105514)","(1.0, 0.0)",10.18711255,6.4562722,7.659923473,8.9513256,0.956519929,7.751647986,237.1910747
f2md,f2me,"(46.86114647610566, -71.014456415105514)","(46.936293887357557, -70.865858374227869)","(0.0, 0.0)",8.7302875,8.7712702,8.837104642,8.8998812,0.777242621,0,0
f2me,f2ms,"(46.936293887357557, -70.865858374227869)","(47.113650923717586, -70.681865439001939)","(0.0, 0.0)",15.01302425,5.7360506,7.922188193,9.6201028,1.243892297,0,0
f2ms,f2mu,"(47.113650923717586, -70.681865439001939)","(47.135247238727416, -70.660228930552336)","(0.0, 0.0)",1.806381525,3.729719,7.353174812,10.7518796,0.213596319,0,0
f2mu,f2mv,"(47.135247238727416, -70.660228930552336)","(47.287142687683769, -70.529470983927339)","(0.0, 0.0)",12.16107008,4.3213296,8.343357926,11.8064898,0.814972234,0,0
f2mv,f2qj,"(47.287142687683769, -70.529470983927339)","(47.428057417800964, -70.311640298186347)","(0.0, 0.0)",14.1016734,4.9129402,7.999068321,10.3403244,0.333432799,0,0
f2qj,f2qn,"(47.428057417800964, -70.311640298186347)","(47.462765347731818, -70.20874134967751)","(0.0, 0.0)",5.374547299,5.9932726,6.834115729,8.0767708,0.33385722,0,0
f2qn,f2qp,"(47.462765347731818, -70.20874134967751)","(47.639976287758259, -69.995459820918157)","(0.0, 0.0)",15.77910144,6.3533834,7.209231145,8.9256034,1.315066022,0,0
f2qp,f2qr,"(47.639976287758259, -69.995459820918157)","(47.670197446671523, -69.959672765658013)","(0.0, 0.0)",2.671736106,8.5912148,9.262135517,10.3917688,0.219323521,0,0
f2qr,f2w2,"(47.670197446671523, -69.959672765658013)","(47.81659362656292, -69.806236291073205)","(0.0, 0.0)",12.37826329,7.1507716,8.94496922,11.0348238,0.445934282,0,0
f2w2,f2w3,"(47.81659362656292, -69.806236291073205)","(47.99224713604049, -69.65873985674574)","(0.0, 0.0)",13.93112201,4.1669964,7.708364248,11.2148792,0.535836974,0,0
f2w3,f2w9,"(47.99224713604049, -69.65873985674574)","(48.04909191752791, -69.605664466120061)","(0.0, 0.0)",4.631891791,4.9901068,7.02937989,10.0831024,0.246932134,0,0
f2w9,f2wd,"(48.04909191752791, -69.605664466120061)","(48.169887078188673, -69.492879261040486)","(0.0, 0.0)",9.83800942,4.629996,5.327835945,7.5623268,1.50304205,0,0
f2wd,f2wf,"(48.169887078188673, -69.492879261040486)","(48.320638076603721, -69.254378890260469)","(0.0, 0.0)",15.13428473,1.9806094,3.409855708,8.231104,3.437694142,0,0
f2wf,f2wg,"(48.320638076603721, -69.254378890260469)","(48.34640393362541, -69.1116366372041)","(0.0, 0.0)",6.795853467,3.7554412,4.920660693,9.4143252,0.13230456,0,0
f2wg,f2x5,"(48.34640393362541, -69.1116366372041)","(48.428125205891206, -68.905200034241744)","(0.0, 0.0)",11.03054548,5.5817174,7.376181091,9.3628808,0.787933356,0,0
f2x5,f2xh,"(48.428125205891206, -68.905200034241744)","(48.518018605383581, -68.678119770983173)","(0.0, 0.0)",12.11849763,4.629996,7.641833835,10.8547684,0.529734303,0,0
f2xh,f2xk,"(48.518018605383581, -68.678119770983173)","(48.567051368743066, -68.554257809205765)","(0.0, 0.0)",6.603419244,5.9418282,8.416732122,11.2920458,0.338161942,0,0
f2xk,f2xm,"(48.567051368743066, -68.554257809205765)","(48.697805404368339, -68.223959244466002)","(0.0, 0.0)",17.58604932,5.8903838,7.081226393,9.0284922,0.797117722,0,0
f2xm,f2xt,"(48.697805404368339, -68.223959244466002)","(48.714149658821498, -68.182671923873528)","(0.0, 0.0)",2.195899929,6.8421052,7.053178547,7.71666,0.249983717,0,0
f2xt,f2xv,"(48.714149658821498, -68.182671923873528)","(48.853075821673357, -67.831729698837549)","(0.0, 0.0)",18.64393817,4.0898298,4.274907015,7.4079936,3.204927018,0,0
f2xv,f2xy,"(48.853075821673357, -67.831729698837549)","(48.869420076126517, -67.790442378245075)","(0.0, 0.0)",2.190913751,0,3.453879846,8.8998812,0.146601234,0,0
f2xy,f88n,"(48.869420076126517, -67.790442378245075)","(48.99200198452521, -67.480787473801556)","(0.0, 0.0)",16.41508511,3.5496636,8.08648816,10.7518796,1.598613027,0,0
f88n,f88p,"(48.99200198452521, -67.480787473801556)","(49.049206875111274, -67.336281851727918)","(0.0, 0.0)",7.650257396,5.9675504,9.205138531,11.1377126,0.655500279,0,0
f88p,f88r,"(49.049206875111274, -67.336281851727918)","(49.128378949902704, -67.123114515966606)","(0.0, 0.0)",11.0918152,4.4499406,7.941023461,11.5235456,0.27666976,0,0
f88r,f88x,"(49.128378949902704, -67.123114515966606)","(49.195854106929261, -66.794621798824252)","(0.0, 0.0)",15.56118567,5.4531064,7.161386406,9.1828254,1.462417179,0,0
f88x,f8b8,"(49.195854106929261, -66.794621798824252)","(49.223968755690329, -66.657749833348262)","(0.0, 0.0)",6.478135144,4.5528294,6.956026779,9.1571032,0.679136887,0,0
f8b8,f8bb,"(49.223968755690329, -66.657749833348262)","(49.268952193708031, -66.438754688586684)","(0.0, 0.0)",10.35803858,1.9548872,6.721566777,10.8547684,0.180808106,0,0
f8bb,f8c0,"(49.268952193708031, -66.438754688586684)","(49.342050280486802, -66.08288757834913)","(0.0, 0.0)",16.81347998,3.9612188,7.140925351,10.7776018,1.578626912,0,0
f8c0,f8c1,"(49.342050280486802, -66.08288757834913)","(49.398279578008932, -65.809143647397164)","(0.0, 0.0)",12.91800463,5.6074396,7.558135459,9.3114364,0.927365111,0,0
f8c1,f8c3,"(49.398279578008932, -65.809143647397164)","(49.396956246288674, -65.71493471231318)","(0.0, 0.0)",4.238410689,4.3213296,6.865377667,7.8967154,0.460217499,0,0
f8c3,f8c2,"(49.396956246288674, -65.71493471231318)","(49.394309582848152, -65.526516842145199)","(0.0, 0.0)",8.477162171,5.658884,6.894000867,7.8709932,0.409219783,0,0
f8c2,f8c8,"(49.394309582848152, -65.526516842145199)","(49.392104029981049, -65.369501950338559)","(0.0, 0.0)",7.064651147,8.3082706,8.3773144,8.4626038,0.655313191,0,0
f8c8,f8cb,"(49.392104029981049, -65.369501950338559)","(49.387251813673423, -65.024069188363939)","(0.0, 0.0)",15.54333778,8.9513256,9.000712224,9.0284922,0.72827839,0,0
f8cb,f8f0,"(49.387251813673423, -65.024069188363939)","(49.382399597365797, -64.678636426389332)","(0.0, 0.0)",15.54487223,5.8646616,7.665535641,9.8001582,1.300874728,0,0
f8f0,f8f2,"(49.382399597365797, -64.678636426389332)","(49.377547381058172, -64.333203664414711)","(0.0, 0.0)",15.54640657,4.4756628,6.283739057,8.488326,0.867105358,0,0
