FROM_GEO,TO_GEO,FROM_LOC,TO_LOC,Regions,Di,Smin,Smean,Smax,xi,tip,ci
f2m67,f2m6k,"(46.805833, -71.214167000000003)","(46.82098388671875, -71.188326676524795)","(1.0, 0.0)",1.609439771,2.700831,5.087729385,7.7423822,0.133351176,7.751647986,237.1910747
f2m6k,f2m6m,"(46.82098388671875, -71.188326676524795)","(46.826370753861376, -71.146290384787733)","(0.0, 0.0)",2.022464486,3.0609418,7.046962507,10.7004352,0.120265247,0,0
f2m6m,f2m6q,"(46.826370753861376, -71.146290384787733)","(46.832206526599215, -71.100751068739243)","(0.0, 0.0)",2.190782237,4.6814404,8.191079126,11.1119904,0.111008445,0,0
f2m6q,f2m6r,"(46.832206526599215, -71.100751068739243)","(46.837593393741841, -71.058714777002166)","(0.0, 0.0)",2.022056557,6.7649386,8.229032862,9.5429362,0.144917858,0,0
f2m6r,f2md2,"(46.837593393741841, -71.058714777002166)","(46.84389831946207, -71.014657027210944)","(0.0, 0.0)",2.127929099,4.4113573,6.930694903,9.4786307,0.246086338,0,0
f2md2,f2md8,"(46.84389831946207, -71.014657027210944)","(46.845734436617285, -71.010614111102626)","(0.0, 0.0)",0.229408574,1.1960823,6.157443891,10.1988523,0.020036564,0,0
f2md8,f2md9,"(46.845734436617285, -71.010614111102626)","(46.864095608169414, -70.970184950019402)","(0.0, 0.0)",2.293786379,0.7973882,5.522720243,10.2117134,0.16821902,0,0
f2md9,f2mdd,"(46.864095608169414, -70.970184950019402)","(46.883374838299154, -70.927734330882032)","(0.0, 0.0)",2.407889896,0.5916106,5.463122936,10.6489908,0.013734788,0,0
f2mdd,f2mdf,"(46.883374838299154, -70.927734330882032)","(46.890807999197207, -70.914581824941607)","(0.0, 0.0)",0.806142764,3.729719,7.354216157,10.7004352,0.086685679,0,0
f2mdf,f2mdg,"(46.890807999197207, -70.914581824941607)","(46.922079547307447, -70.881084452575919)","(0.0, 0.0)",2.678188516,7.0221606,8.355135669,10.1088246,0.034984637,0,0
f2mdg,f2me5,"(46.922079547307447, -70.881084452575919)","(46.936293887357557, -70.865858374227869)","(0.0, 0.0)",1.217178291,7.7938266,8.607291175,9.6972694,0.11490272,0,0
f2me5,f2meh,"(46.936293887357557, -70.865858374227869)","(46.961879699447756, -70.838451433201399)","(0.0, 0.0)",2.190637145,7.6137712,8.425449511,9.1828254,0.155258211,0,0
f2meh,f2mek,"(46.961879699447756, -70.838451433201399)","(46.978936907507887, -70.820180139183748)","(0.0, 0.0)",1.460222074,5.0672734,7.763558569,9.131381,0.004135432,0,0
f2mek,f2mem,"(46.978936907507887, -70.820180139183748)","(47.001679851588058, -70.795818413826879)","(0.0, 0.0)",1.946710485,4.4499406,6.910724738,8.3082706,0.023116558,0,0
f2mem,f2met,"(47.001679851588058, -70.795818413826879)","(47.021579927658216, -70.774501904139612)","(0.0, 0.0)",1.703135155,6.0961614,7.203930813,8.3082706,0.085702999,0,0
f2met,f2mew,"(47.021579927658216, -70.774501904139612)","(47.04454271568612, -70.751102266040704)","(0.0, 0.0)",1.932254025,5.0415512,7.415692762,9.3371586,0.214662473,0,0
f2mew,f2mey,"(47.04454271568612, -70.751102266040704)","(47.066139030695958, -70.729465757591086)","(0.0, 0.0)",1.807125936,4.629996,6.479747645,8.3082706,0.087977635,0,0
f2mey,f2mez,"(47.066139030695958, -70.729465757591086)","(47.087735345705788, -70.707829249141483)","(0.0, 0.0)",1.806893326,5.1958844,6.445875016,8.0510486,0.219681927,0,0
f2mez,f2msp,"(47.087735345705788, -70.707829249141483)","(47.113650923717586, -70.681865439001939)","(0.0, 0.0)",2.167964914,4.0126632,7.026577659,9.5943806,0.154540174,0,0
f2msp,f2mu0,"(47.113650923717586, -70.681865439001939)","(47.135247238727416, -70.660228930552336)","(0.0, 0.0)",1.806381525,3.901200333,7.546274459,10.6232686,0.058775643,0,0
f2mu0,f2mu2,"(47.135247238727416, -70.660228930552336)","(47.156843553737247, -70.638592422102718)","(0.0, 0.0)",1.806148861,4.081255733,7.483196873,10.5203798,0.089941149,0,0
f2mu2,f2mu3,"(47.156843553737247, -70.638592422102718)","(47.178439868747077, -70.616955913653101)","(0.0, 0.0)",1.80591618,4.2698852,6.912879726,10.1345468,0.144476449,0,0
f2mu3,f2mu9,"(47.178439868747077, -70.616955913653101)","(47.200036183756907, -70.595319405203497)","(0.0, 0.0)",1.805683483,6.5077166,7.283185012,8.874159,0.142879447,0,0
f2mu9,f2mud,"(47.200036183756907, -70.595319405203497)","(47.221632498766745, -70.57368289675388)","(0.0, 0.0)",1.805450769,6.7392164,8.083058449,9.2085476,0.041778027,0,0
f2mud,f2muf,"(47.221632498766745, -70.57368289675388)","(47.241589169491782, -70.554879095212698)","(0.0, 0.0)",1.637407911,6.0961614,9.317942961,11.4206568,0.120081667,0,0
f2muf,f2mug,"(47.241589169491782, -70.554879095212698)","(47.284463068966588, -70.53096557870883)","(0.0, 0.0)",3.168304062,5.2216066,8.210039053,10.7261574,0.021678771,0,0
f2mug,f2mv5,"(47.284463068966588, -70.53096557870883)","(47.287142687683769, -70.529470983927339)","(0.0, 0.0)",0.19800833,5.658884,8.339965447,10.9576572,0.01104926,0,0
f2mv5,f2mv7,"(47.287142687683769, -70.529470983927339)","(47.330016587158575, -70.505557467423472)","(0.0, 0.0)",3.167962409,4.9901068,8.286473053,11.1377126,0.188804404,0,0
f2mv7,f2mvk,"(47.330016587158575, -70.505557467423472)","(47.362172011764677, -70.487622330045568)","(0.0, 0.0)",2.375760804,2.5979422,6.454766015,10.3146022,0.257863912,0,0
f2mvk,f2mvs,"(47.362172011764677, -70.487622330045568)","(47.373660968668737, -70.480737674353193)","(0.0, 0.0)",0.856939302,2.4950534,7.00666917,11.2663236,0.102849733,0,0
f2mvs,f2mvt,"(47.373660968668737, -70.480737674353193)","(47.414554388967595, -70.443801079935355)","(0.0, 0.0)",3.312721171,2.2635536,7.224224145,11.5492678,0.110666961,0,0
f2mvt,f2mvv,"(47.414554388967595, -70.443801079935355)","(47.417050133167017, -70.431888929830535)","(0.0, 0.0)",0.583184551,3.7811634,6.812688854,9.3371586,0.01895041,0,0
f2mvv,f2mvy,"(47.417050133167017, -70.431888929830535)","(47.423705451032134, -70.400123196217677)","(0.0, 0.0)",1.555035476,6.301939,7.991195019,10.031658,0.053857582,0,0
