FROM_GEO,TO_GEO,FROM_LOC,TO_LOC,Regions,Di,Smin,Smean,Smax,xi,tip,ci
f2m67,f2m6k,"(46.805833, -71.214167000000003)","(46.82098388671875, -71.188326676524795)","(1.0, 0.0)",1.60943977099737,2.700831,5.0877293854651162,7.7423821999999998,0.117175590641,1.81052551472,250.495607675
f2m6k,f2m6m,"(46.82098388671875, -71.188326676524795)","(46.826370753861376, -71.146290384787733)","(0.0, 0.0)",2.0224644862814096,3.0609418000000002,7.0469625066189625,10.700435199999999,0.162916399816,0.0,0.0
f2m6m,f2m6q,"(46.826370753861376, -71.146290384787733)","(46.832206526599215, -71.100751068739243)","(0.0, 0.0)",2.190782236516775,4.6814404000000005,8.1910791261538467,11.1119904,0.134955811888,0.0,0.0
f2m6q,f2m6r,"(46.832206526599215, -71.100751068739243)","(46.837593393741841, -71.058714777002166)","(0.0, 0.0)",2.0220565569269304,6.7649386000000007,8.2290328618181832,9.5429361999999998,0.162792975109,0.0,0.0
f2m6r,f2md2,"(46.837593393741841, -71.058714777002166)","(46.84389831946207, -71.014657027210944)","(0.0, 0.0)",2.1279290985500006,4.4113573000000006,6.9306949032137544,9.4786307000000001,0.0325487433881,0.0,0.0
f2md2,f2md8,"(46.84389831946207, -71.014657027210944)","(46.845734436617285, -71.010614111102626)","(0.0, 0.0)",0.22940857418276214,1.1960823,6.1574438912700531,10.1988523,0.0194423063583,0.0,0.0
f2md8,f2md9,"(46.845734436617285, -71.010614111102626)","(46.864095608169414, -70.970184950019402)","(0.0, 0.0)",2.2937863790148336,0.79738819999999999,5.522720242791145,10.211713400000001,0.290702939512,0.0,0.0
f2md9,f2mdd,"(46.864095608169414, -70.970184950019402)","(46.883374838299154, -70.927734330882032)","(0.0, 0.0)",2.4078898962789252,0.5916106000000001,5.4631229359303646,10.6489908,0.381706561198,0.0,0.0
f2mdd,f2mdf,"(46.883374838299154, -70.927734330882032)","(46.890807999197207, -70.914581824941607)","(0.0, 0.0)",0.8061427638596811,3.7297189999999998,7.3542161569530933,10.700435200000001,0.0405223572797,0.0,0.0
f2mdf,f2mdg,"(46.890807999197207, -70.914581824941607)","(46.922079547307447, -70.881084452575919)","(0.0, 0.0)",2.6781885164294885,7.0221606000000003,8.3551356689393934,10.108824600000002,0.0492075303735,0.0,0.0
